Name,Price,Ram,System,SSD,Processor,Display
Neopticon BrowseBook Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) BBN40825614 Lap...,"₹25,990",8 GB LPDDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD,Intel Celeron Dual Core Processor,35.81 cm (14.1 Inch) Display
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,"₹40,990",8 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),39.62 cm (15.6 Inch) Display
Lenovo Chromebook Duet 11M889 MediaTek MediaTek Kompanio 838 - (8 GB/128 GB EMMC Storage/Chrome OS) 11...,"₹37,690",8 GB LPDDR4X RAM,Chrome Operating System,,MediaTek MediaTek Kompanio 838 Processor,70.64 cm (27.81 cm) Touchscreen Display
HP 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0576TU / 15-fd0467TU Thin...,"₹59,990",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i5 Processor (13th Gen),39.62 cm (15.6 Inch) Display
HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Lapt...,"₹82,990",16 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,Intel Core Ultra 7 Processor,35.56 cm (14 Inch) Display
HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) 14-ep1151TU/14-gr1036TU/14-ep...,"₹80,567",16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core Ultra 7 Processor,35.56 cm (14 Inch) Display
HP 250R G10 (2025) (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 250R G...,"₹48,490",8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,Intel Core 3 Processor (14th Gen),39.62 cm (15.6 Inch) Display
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 82XM00QD...,"₹55,990",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,39.62 cm (15.6 Inch) Display
HP Victus AI AMD Ryzen 7 Octa Core 260 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹1,14,990",24 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,AMD Ryzen 7 Octa Core Processor,39.62 cm (15.6 Inch) Display
Lenovo Chromebook 11IJL9 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) Chromeboo...,"₹17,990",4 GB LPDDR4X RAM,Chrome Operating System,,Intel Celeron Dual Core Processor,29.46 cm (11.6 Inch) Display
HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,"₹71,990",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i7 Processor (13th Gen),39.62 cm (15.6 Inch) Display
Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 8840H Office 2024 and Backlit Keyboard AMD Ryzen 7 Octa Co...,"₹84,490",24 GB DDR5 RAM,Windows 11 Home Operating System,1 TB SSD,AMD Ryzen 7 Octa Core Processor,38.86 cm (15.3 Inch) Display
Lenovo IdeaPad Slim 3 with 1Yr ADP Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) ...,"₹56,990",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i5 Processor (12th Gen),39.62 cm (15.6 Inch) Display
